#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon Jan 21 16:12:40 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       DCE_Q816_map.ncd
#OUTPUT FILE:      DCE_Q816_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -5
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,
P3,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,
P4,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,
P5,,DIFFS,IO_L02N_3/VREF_3,UNUSED,,3,,,,,,,,,
P6,,IBUF,IP,UNUSED,,3,,,,,,,,,
P7,,,VCCAUX,,,,,,,,2.5,,,,
P8,CPUvga<2>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P9,CPUrom_db<7>,IBUF,IO_L03N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P10,,,GND,,,,,,,,,,,,
P11,CPUrom_db<6>,IBUF,IO_L04P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P12,CPUrom_db<5>,IBUF,IO_L04N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,IBUF,IP,UNUSED,,3,,,,,,,,,
P15,CPUrom_db<4>,IBUF,IO_L05P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P16,CPUrom_db<3>,IBUF,IO_L05N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P17,,,GND,,,,,,,,,,,,
P18,CPUrom_db<2>,IBUF,IO_L06P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P19,CPUrom_db<1>,IBUF,IO_L06N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
P20,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
P21,,,VCCO_3,,,3,,,,,2.50,,,,
P22,CPUrom_db<0>,IBUF,IO_L07P_3/LHCLK0,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
